Bot
RE: 238k
camber: 22.3%
t/c : 3.9%
alpha	Cl	alpha	Cd
-10.0	0.468	-10.0	0.170
-8.0	0.411	-8.0	0.144
-6.1	0.303	-6.1	0.127
-4.0	0.216	-4.0	0.114
-2.0	0.293	-2.0	0.107n
0.0	0.564	0.0	0.099
2.0	1.098	2.0	0.102
2.9	1.212	2.9	0.108
4.0	1.389	4.0	0.111
5.0	1.548	5.0	0.118
6.0	1.689	6.0	0.124
7.0	1.800	7.0	0.133
8.0	1.833	8.0	0.150
9.0	1.779	9.0	0.176
10.0	1.719	10.0	0.189
11.0	1.623	11.0	0.202
12.0	1.667	12.0	0.225
14.0	1.811	14.0	0.262
16.0	1.907	16.0	0.297
18.0	1.973	18.0	0.324
19.0	2.039	19.0	0.344
20.0	2.060	20.0	0.363
22.0	2.144	22.0	0.421
23.0	2.135	23.0	0.460
24.0	2.039	24.0	0.553
25.0	2.087	25.0	0.669
26.0	1.936	26.0	0.736
28.0	1.843	28.0	0.892
30.0	2.077	30.0	1.098
32.1	2.278	32.1	1.314
