Bot			
RE: 369k
camber: 22.3%
t/c : 3.9%
alpha	Cl	alpha	Cd
-10.0	0.468	-10.0	0.169
-8.0	0.411	-8.0	0.146
-6.0	0.366	-6.0	0.128
-4.0	0.366	-4.0	0.114
-3.0	0.402	-3.0	0.107
-2.0	0.462	-2.0	0.102
0.0	0.744	0.0	0.099
2.0	1.095	2.0	0.102
4.0	1.398	4.0	0.112
5.0	1.566	5.0	0.117
6.0	1.635	6.0	0.134
7.0	1.620	7.0	0.160
8.0	1.599	8.0	0.176
9.0	1.539	9.0	0.196
10.0	1.445	10.0	0.205
11.0	1.481	11.0	0.223
12.0	1.541	12.0	0.244
14.0	1.643	14.0	0.272
16.0	1.787	16.0	0.300
18.0	1.931	18.0	0.323
20.1	1.991	20.1	0.341
21.0	2.075	21.0	0.365
22.0	2.138	22.0	0.393
23.0	2.099	23.0	0.428
24.0	2.120	24.0	0.549
25.0	2.141	25.0	0.656
26.0	1.993	26.0	0.744
27.0	1.825	27.0	0.820
28.0	1.873	28.0	0.896
29.0	1.951	29.0	0.970
30.1	2.026	30.1	1.050
32.0	2.128	32.0	1.180
