Bot		
RE: 68k
camber: 22.3%
t/c : 3.9%
alpha	Cl	alpha	Cd
-10.0	-0.402	-10.0	0.444
-8.1	-0.517	-8.1	0.405
-6.1	-0.547	-6.1	0.347
-4.0	-0.637	-4.0	0.318
-3.1	-0.661	-3.1	0.305
-2.1	-0.682	-2.1	0.287
-1.1	-0.662	-1.1	0.274
0.0	-0.602	0.0	0.271
1.9	-0.250	1.9	0.277
3.9	0.212	3.9	0.287
6.0	0.719	6.0	0.304
8.0	0.938	8.0	0.321
10.0	1.157	10.0	0.347
12.0	1.301	12.0	0.376
13.9	1.445	13.9	0.402
15.0	1.907	15.0	0.313
16.0	2.066	16.0	0.344
18.0	2.111	18.0	0.386
20.1	2.147	20.1	0.421
22.0	2.237	22.0	0.488
24.0	2.123	24.0	0.581
26.0	2.086	26.0	0.759
28.0	2.089	28.0	0.899
30.0	2.137	30.0	1.003
32.1	2.239	32.1	1.154
