Souppez			
RE: 53K
camber: 22.23%
t/c : 1%
alpha	Cl	alpha	Cd
5.0	0.0518	5.0	0.2119
6.0	0.1667	6.0	0.2211
7.0	0.2983	7.0	0.2302
8.0	0.4524	8.0	0.2484
9.0	0.5896	9.0	0.2625
10.0	0.7549	10.0	0.2750
11.0	0.8389	11.0	0.2915
12.0	0.9202	12.0	0.3056
13.0	0.9846	13.0	0.3081
14.0	1.0014	14.0	0.3156
15.0	1.0518	15.0	0.3222
16.0	1.0826	16.0	0.3413
17.0	1.1527	17.0	0.3604
18.0	1.2003	18.0	0.3844
19.0	1.2731	19.0	0.3952
20.0	1.3992	20.0	0.4093
21.0	1.5560	21.0	0.3977
22.0	1.5924	22.0	0.4010
23.0	1.6176	23.0	0.4060
24.0	1.6148	24.0	0.4109
25.0	1.5784	25.0	0.4134
