Velychko			
Re : 53K
Camber : unkown
t/c : unkown	
alpha	Cl	alpha	Cd
2.3	-0.2927	0.9	0.20
3.8	-0.2255	3.6	0.19
4.8	-0.1106	6.7	0.20
5.7	-0.0042	8.3	0.23
6.5	0.1218	10.8	0.27
7.2	0.2283	13.1	0.30
8.2	0.3880	15.2	0.33
9.2	0.5476	16.9	0.37
10.3	0.7045	18.8	0.39
11.9	0.8333	20.8	0.41
12.7	0.9090	23.4	0.42
13.8	1.0042	25.6	0.40
15.5	1.0938	27.3	0.43
17.1	1.2031	28.5	0.47
18.8	1.3207	29.4	0.53
19.7	1.4160	0.0	0.0
20.8	1.5868	0.0	0.0
22.0	1.6317	0.0	0.0
23.4	1.6681	0.0	0.0
24.7	1.6429	0.0	0.0
26.6	1.6485	0.0	0.0
28.6	1.5840	0.0	0.0
29.9	1.5308	0.0	0.0
